# With hugepahes and interleaving
Batch size = 1520, CPU: 0.000351, GPU: 0.000184, CPU/GPU: 1.911282
Batch size = 1528, CPU: 0.000345, GPU: 0.000204, CPU/GPU: 1.692678
Batch size = 1536, CPU: 0.000357, GPU: 0.000180, CPU/GPU: 1.983096
Batch size = 1544, CPU: 0.000352, GPU: 0.000162, CPU/GPU: 2.178785
Batch size = 1552, CPU: 0.000361, GPU: 0.000183, CPU/GPU: 1.969511
Batch size = 1560, CPU: 0.000352, GPU: 0.000211, CPU/GPU: 1.666531
Batch size = 1568, CPU: 0.000367, GPU: 0.000167, CPU/GPU: 2.201237
Batch size = 1576, CPU: 0.000365, GPU: 0.000171, CPU/GPU: 2.129567
Batch size = 1584, CPU: 0.000367, GPU: 0.000188, CPU/GPU: 1.952898
Batch size = 1592, CPU: 0.000361, GPU: 0.000197, CPU/GPU: 1.831909
Batch size = 1600, CPU: 0.000368, GPU: 0.000179, CPU/GPU: 2.059162
Batch size = 1608, CPU: 0.000366, GPU: 0.000172, CPU/GPU: 2.126112
Batch size = 1616, CPU: 0.000372, GPU: 0.000181, CPU/GPU: 2.060880
Batch size = 1624, CPU: 0.000367, GPU: 0.000203, CPU/GPU: 1.804853
Batch size = 1632, CPU: 0.000379, GPU: 0.000184, CPU/GPU: 2.059154
Batch size = 1640, CPU: 0.000371, GPU: 0.000168, CPU/GPU: 2.205326
Batch size = 1648, CPU: 0.000380, GPU: 0.000188, CPU/GPU: 2.016900
Batch size = 1656, CPU: 0.000375, GPU: 0.000175, CPU/GPU: 2.141950
Batch size = 1664, CPU: 0.000392, GPU: 0.000168, CPU/GPU: 2.331845
Batch size = 1672, CPU: 0.000388, GPU: 0.000198, CPU/GPU: 1.961550
Batch size = 1680, CPU: 0.000387, GPU: 0.000176, CPU/GPU: 2.196337
Batch size = 1688, CPU: 0.000381, GPU: 0.000177, CPU/GPU: 2.152966
Batch size = 1696, CPU: 0.000391, GPU: 0.000180, CPU/GPU: 2.166111
Batch size = 1704, CPU: 0.000384, GPU: 0.000206, CPU/GPU: 1.863117
Batch size = 1712, CPU: 0.000393, GPU: 0.000191, CPU/GPU: 2.061359
Batch size = 1720, CPU: 0.000389, GPU: 0.000160, CPU/GPU: 2.424747
Batch size = 1728, CPU: 0.000398, GPU: 0.000180, CPU/GPU: 2.202985
Batch size = 1736, CPU: 0.000392, GPU: 0.000199, CPU/GPU: 1.967990
Batch size = 1744, CPU: 0.000401, GPU: 0.000177, CPU/GPU: 2.266353
Batch size = 1752, CPU: 0.000403, GPU: 0.000177, CPU/GPU: 2.273382
Batch size = 1760, CPU: 0.000403, GPU: 0.000193, CPU/GPU: 2.087277
Batch size = 1768, CPU: 0.000397, GPU: 0.000175, CPU/GPU: 2.273352
Batch size = 1776, CPU: 0.000408, GPU: 0.000172, CPU/GPU: 2.374424
Batch size = 1784, CPU: 0.000403, GPU: 0.000202, CPU/GPU: 1.994322
Batch size = 1792, CPU: 0.000412, GPU: 0.000179, CPU/GPU: 2.295905
Batch size = 1800, CPU: 0.000406, GPU: 0.000207, CPU/GPU: 1.965659
Batch size = 1808, CPU: 0.000417, GPU: 0.000192, CPU/GPU: 2.173617
Batch size = 1816, CPU: 0.000410, GPU: 0.000167, CPU/GPU: 2.458579
Batch size = 1824, CPU: 0.000419, GPU: 0.000174, CPU/GPU: 2.402456
Batch size = 1832, CPU: 0.000423, GPU: 0.000201, CPU/GPU: 2.104579
Batch size = 1840, CPU: 0.000419, GPU: 0.000177, CPU/GPU: 2.365777
Batch size = 1848, CPU: 0.000426, GPU: 0.000207, CPU/GPU: 2.062893
Batch size = 1856, CPU: 0.000424, GPU: 0.000189, CPU/GPU: 2.243951
Batch size = 1864, CPU: 0.000420, GPU: 0.000201, CPU/GPU: 2.090151
Batch size = 1872, CPU: 0.000429, GPU: 0.000183, CPU/GPU: 2.340305
Batch size = 1880, CPU: 0.000424, GPU: 0.000197, CPU/GPU: 2.151576
Batch size = 1888, CPU: 0.000435, GPU: 0.000174, CPU/GPU: 2.495840
Batch size = 1896, CPU: 0.000426, GPU: 0.000197, CPU/GPU: 2.161367
Batch size = 1904, CPU: 0.000437, GPU: 0.000179, CPU/GPU: 2.434194
Batch size = 1912, CPU: 0.000431, GPU: 0.000203, CPU/GPU: 2.123262
Batch size = 1920, CPU: 0.000439, GPU: 0.000197, CPU/GPU: 2.227701
Batch size = 1928, CPU: 0.000433, GPU: 0.000205, CPU/GPU: 2.116382
Batch size = 1936, CPU: 0.000442, GPU: 0.000170, CPU/GPU: 2.601947
Batch size = 1944, CPU: 0.000439, GPU: 0.000206, CPU/GPU: 2.135319
Batch size = 1952, CPU: 0.000448, GPU: 0.000188, CPU/GPU: 2.379559
Batch size = 1960, CPU: 0.000461, GPU: 0.000200, CPU/GPU: 2.303853
Batch size = 1968, CPU: 0.000460, GPU: 0.000179, CPU/GPU: 2.569037
Batch size = 1976, CPU: 0.000455, GPU: 0.000198, CPU/GPU: 2.298816
Batch size = 1984, CPU: 0.000454, GPU: 0.000192, CPU/GPU: 2.361069
Batch size = 1992, CPU: 0.000449, GPU: 0.000205, CPU/GPU: 2.191869
Batch size = 2000, CPU: 0.000458, GPU: 0.000183, CPU/GPU: 2.509563
