# Without using hugepages and inteleaving
Batch size = 1352, CPU: 0.001315, GPU: 0.000174, CPU/GPU: 7.536487
Batch size = 1360, CPU: 0.001317, GPU: 0.000163, CPU/GPU: 8.071790
Batch size = 1368, CPU: 0.001323, GPU: 0.000168, CPU/GPU: 7.870269
Batch size = 1376, CPU: 0.001329, GPU: 0.000167, CPU/GPU: 7.956887
Batch size = 1384, CPU: 0.001345, GPU: 0.000188, CPU/GPU: 7.166394
Batch size = 1392, CPU: 0.001326, GPU: 0.000199, CPU/GPU: 6.657941
Batch size = 1400, CPU: 0.001339, GPU: 0.000173, CPU/GPU: 7.759615
Batch size = 1408, CPU: 0.001389, GPU: 0.000201, CPU/GPU: 6.920308
Batch size = 1416, CPU: 0.001364, GPU: 0.000171, CPU/GPU: 7.979821
Batch size = 1424, CPU: 0.001363, GPU: 0.000169, CPU/GPU: 8.083779
Batch size = 1432, CPU: 0.001376, GPU: 0.000176, CPU/GPU: 7.811889
Batch size = 1440, CPU: 0.001362, GPU: 0.000179, CPU/GPU: 7.614161
Batch size = 1448, CPU: 0.001385, GPU: 0.000174, CPU/GPU: 7.941599
Batch size = 1456, CPU: 0.001386, GPU: 0.000207, CPU/GPU: 6.687310
Batch size = 1464, CPU: 0.001407, GPU: 0.000172, CPU/GPU: 8.195626
Batch size = 1472, CPU: 0.001391, GPU: 0.000200, CPU/GPU: 6.960986
Batch size = 1480, CPU: 0.001426, GPU: 0.000187, CPU/GPU: 7.621496
Batch size = 1488, CPU: 0.001401, GPU: 0.000198, CPU/GPU: 7.082472
Batch size = 1496, CPU: 0.001410, GPU: 0.000188, CPU/GPU: 7.489981
Batch size = 1504, CPU: 0.001419, GPU: 0.000173, CPU/GPU: 8.181150
Batch size = 1512, CPU: 0.001431, GPU: 0.000176, CPU/GPU: 8.151268
Batch size = 1520, CPU: 0.001440, GPU: 0.000204, CPU/GPU: 7.069145
Batch size = 1528, CPU: 0.001445, GPU: 0.000173, CPU/GPU: 8.348576
Batch size = 1536, CPU: 0.001442, GPU: 0.000199, CPU/GPU: 7.261179
Batch size = 1544, CPU: 0.001481, GPU: 0.000183, CPU/GPU: 8.099286
Batch size = 1552, CPU: 0.001450, GPU: 0.000176, CPU/GPU: 8.226798
Batch size = 1560, CPU: 0.001470, GPU: 0.000175, CPU/GPU: 8.412437
Batch size = 1568, CPU: 0.001591, GPU: 0.000204, CPU/GPU: 7.800050
Batch size = 1576, CPU: 0.001479, GPU: 0.000183, CPU/GPU: 8.077123
Batch size = 1584, CPU: 0.001485, GPU: 0.000200, CPU/GPU: 7.433759
Batch size = 1592, CPU: 0.001495, GPU: 0.000176, CPU/GPU: 8.504925
Batch size = 1600, CPU: 0.001482, GPU: 0.000207, CPU/GPU: 7.177871
Batch size = 1608, CPU: 0.001523, GPU: 0.000161, CPU/GPU: 9.448248
Batch size = 1616, CPU: 0.001522, GPU: 0.000204, CPU/GPU: 7.449865
Batch size = 1624, CPU: 0.001518, GPU: 0.000190, CPU/GPU: 7.970348
Batch size = 1632, CPU: 0.001511, GPU: 0.000204, CPU/GPU: 7.391710
Batch size = 1640, CPU: 0.001519, GPU: 0.000190, CPU/GPU: 7.999958
Batch size = 1648, CPU: 0.001529, GPU: 0.000194, CPU/GPU: 7.879798
Batch size = 1656, CPU: 0.001539, GPU: 0.000175, CPU/GPU: 8.775453
Batch size = 1664, CPU: 0.001534, GPU: 0.000208, CPU/GPU: 7.364055
Batch size = 1672, CPU: 0.001554, GPU: 0.000201, CPU/GPU: 7.745981
Batch size = 1680, CPU: 0.001553, GPU: 0.000178, CPU/GPU: 8.733864
Batch size = 1688, CPU: 0.001568, GPU: 0.000184, CPU/GPU: 8.519606
Batch size = 1696, CPU: 0.001552, GPU: 0.000204, CPU/GPU: 7.627148
Batch size = 1704, CPU: 0.001580, GPU: 0.000188, CPU/GPU: 8.396016
Batch size = 1712, CPU: 0.001600, GPU: 0.000206, CPU/GPU: 7.759650
Batch size = 1720, CPU: 0.001588, GPU: 0.000197, CPU/GPU: 8.048934
Batch size = 1728, CPU: 0.001595, GPU: 0.000202, CPU/GPU: 7.882472
Batch size = 1736, CPU: 0.001609, GPU: 0.000178, CPU/GPU: 9.065287
Batch size = 1744, CPU: 0.001602, GPU: 0.000201, CPU/GPU: 7.987746
Batch size = 1752, CPU: 0.001623, GPU: 0.000195, CPU/GPU: 8.330959
Batch size = 1760, CPU: 0.001620, GPU: 0.000177, CPU/GPU: 9.132419
Batch size = 1768, CPU: 0.001669, GPU: 0.000184, CPU/GPU: 9.048900
Batch size = 1776, CPU: 0.001618, GPU: 0.000202, CPU/GPU: 8.023678
Batch size = 1784, CPU: 0.001631, GPU: 0.000188, CPU/GPU: 8.682617
Batch size = 1792, CPU: 0.001651, GPU: 0.000204, CPU/GPU: 8.080798
Batch size = 1800, CPU: 0.001653, GPU: 0.000185, CPU/GPU: 8.915272
Batch size = 1808, CPU: 0.001654, GPU: 0.000179, CPU/GPU: 9.219683
Batch size = 1816, CPU: 0.001669, GPU: 0.000182, CPU/GPU: 9.172626
Batch size = 1824, CPU: 0.001662, GPU: 0.000159, CPU/GPU: 10.466725
Batch size = 1832, CPU: 0.001688, GPU: 0.000181, CPU/GPU: 9.316647
Batch size = 1840, CPU: 0.001669, GPU: 0.000201, CPU/GPU: 8.304037
Batch size = 1848, CPU: 0.001692, GPU: 0.000193, CPU/GPU: 8.748604
Batch size = 1856, CPU: 0.001689, GPU: 0.000205, CPU/GPU: 8.225438
Batch size = 1864, CPU: 0.001695, GPU: 0.000200, CPU/GPU: 8.492784
Batch size = 1872, CPU: 0.001793, GPU: 0.000196, CPU/GPU: 9.137454
Batch size = 1880, CPU: 0.001699, GPU: 0.000187, CPU/GPU: 9.105234
Batch size = 1888, CPU: 0.001707, GPU: 0.000204, CPU/GPU: 8.358282
Batch size = 1896, CPU: 0.001722, GPU: 0.000183, CPU/GPU: 9.403920
Batch size = 1904, CPU: 0.001724, GPU: 0.000205, CPU/GPU: 8.409810
Batch size = 1912, CPU: 0.001756, GPU: 0.000186, CPU/GPU: 9.423719
Batch size = 1920, CPU: 0.001760, GPU: 0.000206, CPU/GPU: 8.557436
Batch size = 1928, CPU: 0.001740, GPU: 0.000190, CPU/GPU: 9.154519
Batch size = 1936, CPU: 0.001763, GPU: 0.000208, CPU/GPU: 8.487027
Batch size = 1944, CPU: 0.001768, GPU: 0.000182, CPU/GPU: 9.699491
Batch size = 1952, CPU: 0.001775, GPU: 0.000208, CPU/GPU: 8.524530
Batch size = 1960, CPU: 0.001908, GPU: 0.000191, CPU/GPU: 9.995166
Batch size = 1968, CPU: 0.001780, GPU: 0.000206, CPU/GPU: 8.643681
Batch size = 1976, CPU: 0.001802, GPU: 0.000198, CPU/GPU: 9.099571
Batch size = 1984, CPU: 0.001781, GPU: 0.000210, CPU/GPU: 8.489204
Batch size = 1992, CPU: 0.001796, GPU: 0.000182, CPU/GPU: 9.844068
